PRAD,HR,P-value,Hr-Inv-lst,PCPG,HR,P-value,Hr-Inv-lst,PAAD,HR,P-value,Hr-Inv-lst,OV,HR,P-value,Hr-Inv-lst,THYM,HR,P-value,Hr-Inv-lst,UVM,HR,P-value,Hr-Inv-lst,UCEC,HR,P-value,Hr-Inv-lst,UCS,HR,P-value,Hr-Inv-lst,THCA,HR,P-value,Hr-Inv-lst,TGCT,HR,P-value,Hr-Inv-lst,STAD,HR,P-value,Hr-Inv-lst,SKCM,HR,P-value,Hr-Inv-lst,SARC,HR,P-value,Hr-Inv-lst,READ,HR,P-value,Hr-Inv-lst,LUAD,HR,P-value,Hr-Inv-lst,MESO,HR,P-value,Hr-Inv-lst,LUSC,HR,P-value,Hr-Inv-lst,LIHC,HR,P-value,Hr-Inv-lst,LGG,HR,P-value,Hr-Inv-lst,LAML,HR,P-value,Hr-Inv-lst,KIRP,HR,P-value,Hr-Inv-lst,KIRC,HR,P-value,Hr-Inv-lst,KICH,HR,P-value,Hr-Inv-lst,HNSC,HR,P-value,Hr-Inv-lst,GBM,HR,P-value,Hr-Inv-lst,ESCA,HR,P-value,Hr-Inv-lst,DLBC,HR,P-value,Hr-Inv-lst,CHOL,HR,P-value,Hr-Inv-lst,CESC,HR,P-value,Hr-Inv-lst,BRCA,HR,P-value,Hr-Inv-lst,BLCA,HR,P-value,Hr-Inv-lst,ACC,HR,P-value,Hr-Inv-lst,COAD,HR,P-value,Hr-Inv-lst
PMAIP1,0.29965111,0.14439666,3.33721439,PMAIP1,3.56184169,0.25609621,0.28075363,PMAIP1,1.69284632,0.04850885,0.59072108,PMAIP1,0.99288281,0.96349524,1.00716821,PMAIP1,1.471858883,0.662645201,0.67941296,PMAIP1,1.378742,0.58469978,0.72529886,PMAIP1,1.08105348,0.88871177,0.92502362,PMAIP1,1.24246799,0.54712628,0.80484971,PMAIP1,2.85483795,0.10807083,0.35028258,PMAIP1,0.49054034,0.56093578,2.03856831,PMAIP1,1.1767134,0.46803061,0.84982461,PMAIP1,0.81310021,0.20131666,1.2298607,PMAIP1,0.86740354,0.54125439,1.15286594,PMAIP1,0.590420359,0.544395882,1.693708533,PMAIP1,1.384916877,0.077991766,0.722064997,PMAIP1,1.94585728,0.01686836,0.51391231,PMAIP1,0.90261935,0.52581757,1.10788673,PMAIP1,1.558510322,0.040076394,0.641638355,PMAIP1,0.875081029,0.525570488,1.142751319,PMAIP1,1.053451652,0.781197511,0.94926046,PMAIP1,3.288262758,0.0036783,0.30411195,PMAIP1,1.947293195,6.53E-05,0.513533351,PMAIP1,1.160556372,0.824513154,0.861655689,PMAIP1,1.008834873,0.954997144,0.991242498,PMAIP1,1.198006676,0.357232381,0.83471989,PMAIP1,1.776471,0.034130476,0.562913777,PMAIP1,2.022139207,0.49672159,0.494525795,PMAIP1,0.671766558,0.453609615,1.488612357,PMAIP1,0.790460274,0.369734598,1.265085714,PMAIP1,0.694452853,0.064566955,1.439982565,PMAIP1,0.979296553,0.913522115,1.021141141,PMAIP1,0.470385367,0.086247422,2.12591647,PMAIP1,1.218108984,0.535893427,0.820944606
PPP2R5B,1.1451502,0.85944524,0.87324789,PPP2R5B,1.42330463,0.699134,0.70259028,PPP2R5B,0.49908943,0.01022254,2.00364892,PPP2R5B,0.90933878,0.53829814,1.09970016,PPP2R5B,0.510036523,0.437630565,1.960643903,PPP2R5B,0.14091756,0.01185082,7.09634769,PPP2R5B,1.56473617,0.46672932,0.63908537,PPP2R5B,1.00247492,0.99452291,0.99753119,PPP2R5B,1.31881903,0.61074161,0.75825415,PPP2R5B,2.50425211,0.45405813,0.39932082,PPP2R5B,1.05741711,0.80523037,0.94570061,PPP2R5B,0.89982943,0.51722257,1.11132174,PPP2R5B,0.67065694,0.08968438,1.4910753,PPP2R5B,1.205811267,0.806958453,0.82931718,PPP2R5B,0.890284119,0.525508673,1.123236929,PPP2R5B,2.6296236,0.00065203,0.38028256,PPP2R5B,1.04602338,0.78234431,0.95600158,PPP2R5B,1.232950581,0.327376467,0.811062516,PPP2R5B,0.730485117,0.145567505,1.368953284,PPP2R5B,1.516688266,0.027378404,0.65933127,PPP2R5B,0.342910988,0.008858732,2.916208682,PPP2R5B,1.677559655,0.001348488,0.596103988,PPP2R5B,0.282779681,0.115311892,3.536321978,PPP2R5B,0.844989397,0.283269424,1.183446802,PPP2R5B,1.115256536,0.584424851,0.896654687,PPP2R5B,1.010224208,0.969718343,0.989879268,PPP2R5B,1.013129808,0.989609022,0.98704035,PPP2R5B,1.028395987,0.955991172,0.972388081,PPP2R5B,1.244594101,0.399776757,0.803474803,PPP2R5B,1.16763092,0.430907798,0.856435011,PPP2R5B,1.026982037,0.89013213,0.973726866,PPP2R5B,2.189629413,0.068337698,0.456698286,PPP2R5B,0.841655826,0.60613996,1.188134116
PPP3R1,0.7011876,0.63105299,1.42615187,PPP3R1,0.774829,0.78029722,1.29060735,PPP3R1,1.7679128,0.03255626,0.56563876,PPP3R1,1.12194876,0.45580924,0.89130631,PPP3R1,0.828700893,0.820306214,1.206708003,PPP3R1,1.880363,0.30289175,0.53181221,PPP3R1,1.18828418,0.76692157,0.84154953,PPP3R1,0.65099058,0.24752387,1.53612054,PPP3R1,3.02859805,0.0905089,0.33018578,PPP3R1,0.50360075,0.57548293,1.98569997,PPP3R1,1.05084382,0.83076234,0.95161619,PPP3R1,0.83623369,0.27051278,1.19583798,PPP3R1,1.36274499,0.18305073,0.73381301,PPP3R1,1.576995717,0.589032244,0.634117131,PPP3R1,1.204359464,0.314970744,0.830316886,PPP3R1,1.02437879,0.9284675,0.97620139,PPP3R1,0.88148068,0.43866807,1.13445481,PPP3R1,1.054188008,0.804434754,0.948597397,PPP3R1,0.78515925,0.249562621,1.273626975,PPP3R1,1.038886209,0.839301271,0.962569328,PPP3R1,1.736094426,0.139304738,0.576005536,PPP3R1,0.772545769,0.104730329,1.29442169,PPP3R1,2.453733196,0.205723449,0.407542271,PPP3R1,1.248281407,0.1625188,0.801101414,PPP3R1,1.120298133,0.566575197,0.892619536,PPP3R1,1.721436375,0.047116731,0.58091023,PPP3R1,4.922134995,0.171903547,0.203163871,PPP3R1,0.867863458,0.786123041,1.152254991,PPP3R1,1.058342583,0.826641253,0.944873632,PPP3R1,1.496037437,0.045867985,0.66843247,PPP3R1,1.220028668,0.306125033,0.81965287,PPP3R1,2.775983571,0.017614599,0.36023268,PPP3R1,1.43087663,0.272270242,0.698872271
PPT1,0.8886675,0.86946305,1.12528027,PPT1,0.24621111,0.20191188,4.06155517,PPT1,1.02104791,0.93687073,0.97938597,PPT1,1.1944529,0.25360082,0.83720337,PPT1,0.721876691,0.709156467,1.38527814,PPT1,0.61158898,0.39161986,1.63508506,PPT1,0.45735318,0.18457046,2.18649405,PPT1,0.98400524,0.96438608,1.01625475,PPT1,0.57528418,0.32181292,1.73827133,PPT1,2.0056635,0.56986918,0.49858812,PPT1,1.10680867,0.65089408,0.90349853,PPT1,0.92997972,0.65522654,1.07529227,PPT1,1.32824658,0.22329182,0.75287226,PPT1,1.817730194,0.437994078,0.55013665,PPT1,0.834065305,0.320702054,1.198946886,PPT1,1.73976004,0.0420808,0.57479191,PPT1,1.0442369,0.78980809,0.9576371,PPT1,1.572345604,0.035438221,0.635992493,PPT1,1.581519086,0.033417134,0.632303466,PPT1,0.881768672,0.502120922,1.134084291,PPT1,1.939333021,0.070410409,0.515641197,PPT1,0.741222765,0.060223864,1.349122083,PPT1,1.530775737,0.525997167,0.653263555,PPT1,1.281621253,0.113080786,0.780261717,PPT1,0.907302315,0.623132642,1.102168465,PPT1,1.289776936,0.350275129,0.775327866,PPT1,0.688214579,0.721255518,1.453035187,PPT1,1.090904401,0.86463341,0.916670608,PPT1,1.161965724,0.562855451,0.860610584,PPT1,1.152710442,0.469818985,0.867520553,PPT1,1.344272678,0.12998504,0.743896693,PPT1,1.578825657,0.265117797,0.633382157,PPT1,0.874105818,0.680930475,1.144026249
PRF1,0.80174652,0.76432271,1.247277,PRF1,1.11877794,0.89158586,0.89383243,PRF1,1.14802581,0.60431806,0.87106056,PRF1,1.05963476,0.71568404,0.9437214,PRF1,1.298337974,0.765074412,0.770215476,PRF1,4.38722188,0.03042593,0.22793468,PRF1,0.70277174,0.54202063,1.42293712,PRF1,1.01720702,0.96244959,0.98308406,PRF1,0.37727882,0.09962129,2.65055959,PRF1,0.50695643,0.57921742,1.97255609,PRF1,1.02037279,0.92856436,0.98003397,PRF1,0.72355227,0.04593841,1.38207015,PRF1,0.64979531,0.06516117,1.53894616,PRF1,0.580321822,0.525392548,1.723181797,PRF1,0.933941349,0.708741881,1.070731049,PRF1,0.7143824,0.21341212,1.39981052,PRF1,0.89220811,0.48723152,1.12081473,PRF1,0.679420035,0.072944139,1.471843556,PRF1,1.549739135,0.037523666,0.645269889,PRF1,1.219975104,0.289447595,0.819688858,PRF1,1.244663133,0.538563475,0.80343024,PRF1,1.074795591,0.64925693,0.930409473,PRF1,0.510349113,0.342698017,1.959443006,PRF1,0.892358803,0.464278904,1.120625467,PRF1,1.262539697,0.237304014,0.792054304,PRF1,1.081806516,0.767892566,0.924379716,PRF1,2.704956746,0.388908341,0.369691679,PRF1,0.604215005,0.331541889,1.655039996,PRF1,0.666359036,0.12116847,1.500692488,PRF1,0.782198143,0.223814096,1.278448445,PRF1,0.971081768,0.879077067,1.0297794,PRF1,0.452291992,0.064461943,2.210961101,PRF1,1.112419678,0.751761435,0.898941308
PSEN1,0.68600084,0.60782022,1.45772416,PSEN1,556067425,0.99852886,1.80E-09,PSEN1,2.60814618,0.0008163,0.38341409,PSEN1,1.38435416,0.03659458,0.7223585,PSEN1,1.064580949,0.939161867,0.939336742,PSEN1,5.78716224,0.02496054,0.17279626,PSEN1,1.09365914,0.87311471,0.91436167,PSEN1,1.86066033,0.09339844,0.53744361,PSEN1,0.14641195,0.01201383,6.8300437,PSEN1,0.54961271,0.62531518,1.81946303,PSEN1,1.2230761,0.37557345,0.81761061,PSEN1,0.89423673,0.49072014,1.11827212,PSEN1,0.90475789,0.6671331,1.10526806,PSEN1,1.345681265,0.733976285,0.743118022,PSEN1,1.218426909,0.284048086,0.820730397,PSEN1,0.75251364,0.29463465,1.32887957,PSEN1,0.89142996,0.4786924,1.12179312,PSEN1,1.220687222,0.352203296,0.819210673,PSEN1,1.068544073,0.752307915,0.935852835,PSEN1,0.562450705,0.002555136,1.777933588,PSEN1,0.924268946,0.824516448,1.081936167,PSEN1,0.566576129,0.000486522,1.764987879,PSEN1,1.306920806,0.690194545,0.765157304,PSEN1,1.567149482,0.004507983,0.638101223,PSEN1,0.980145278,0.918311201,1.020256917,PSEN1,0.775877659,0.352928511,1.288862991,PSEN1,1319681166,0.999174003,7.58E-10,PSEN1,4.858551211,0.010183389,0.205822674,PSEN1,1.468520209,0.149266185,0.680957602,PSEN1,0.938221211,0.747983481,1.06584672,PSEN1,1.253036361,0.243420639,0.798061438,PSEN1,2.135355821,0.070588796,0.468306027,PSEN1,1.150533702,0.666726034,0.869161849
PSEN2,0.32392422,0.16805469,3.08714178,PSEN2,0.79153797,0.77619334,1.26336328,PSEN2,0.59945665,0.05533033,1.66817735,PSEN2,0.96331908,0.8088251,1.03807764,PSEN2,5.639941045,0.115521421,0.177306818,PSEN2,0.64473078,0.46664536,1.551035,PSEN2,0.41662785,0.14590168,2.40022361,PSEN2,1.17521981,0.65553494,0.85090465,PSEN2,0.58789806,0.34244889,1.70097517,PSEN2,1.61E-09,0.99885265,622073149,PSEN2,0.82992664,0.4094277,1.20492578,PSEN2,1.60431906,0.00386792,0.62331741,PSEN2,0.73889135,0.19615081,1.35337894,PSEN2,0.96151692,0.96293649,1.0400233,PSEN2,0.929972289,0.692209008,1.075300857,PSEN2,0.81810689,0.45927833,1.22233416,PSEN2,0.9330526,0.6698172,1.07175094,PSEN2,0.974608121,0.905046297,1.026053424,PSEN2,1.83332782,0.004766444,0.545456186,PSEN2,0.862678451,0.432971988,1.159180456,PSEN2,1.41873945,0.328573746,0.704851056,PSEN2,1.511610076,0.01033998,0.661546265,PSEN2,0.700866892,0.596468808,1.42680445,PSEN2,1.451013582,0.017147556,0.689173425,PSEN2,0.852103528,0.419395904,1.173566319,PSEN2,0.930890117,0.791701062,1.074240646,PSEN2,0.148154825,0.105589831,6.74969578,PSEN2,1.411786833,0.519813208,0.708322231,PSEN2,1.635722494,0.060964257,0.611350644,PSEN2,0.80176835,0.26559663,1.247243047,PSEN2,1.040788095,0.835643095,0.960810375,PSEN2,1.880656139,0.144867601,0.531729315,PSEN2,0.617965535,0.144548451,1.618213222
PTK2,0.58043949,0.46613813,1.72283247,PTK2,0.91694571,0.91617714,1.0905771,PTK2,1.60865115,0.07163769,0.62163882,PTK2,1.04494841,0.77583321,0.95698505,PTK2,3.344223892,0.169415318,0.299023042,PTK2,6.39736258,0.01797757,0.15631442,PTK2,0.84696119,0.77686327,1.18069164,PTK2,2.19140544,0.0413559,0.45632815,PTK2,1.26897285,0.65957776,0.78803892,PTK2,0.55326851,0.62894513,1.80744066,PTK2,1.34924703,0.19311373,0.74115412,PTK2,0.91199105,0.57382256,1.09650199,PTK2,1.24755367,0.34248362,0.80156872,PTK2,1.175587125,0.834624672,0.850638782,PTK2,0.978279254,0.903728133,1.022203012,PTK2,0.65736822,0.12705801,1.52121743,PTK2,1.49871079,0.01594242,0.66724014,PTK2,0.87366809,0.53929237,1.144599433,PTK2,0.694879395,0.083014346,1.439098652,PTK2,1.449467992,0.049942662,0.689908301,PTK2,2.083997306,0.050966842,0.479847069,PTK2,0.617499434,0.003079295,1.619434682,PTK2,8.457989447,0.044183113,0.118231408,PTK2,1.076432145,0.635483897,0.928994925,PTK2,0.956987409,0.821404463,1.044945827,PTK2,1.335735744,0.276308611,0.748651075,PTK2,0.92569064,0.938931877,1.080274508,PTK2,0.779046014,0.621722769,1.283621226,PTK2,1.82400105,0.023795214,0.548245298,PTK2,2.238185763,0.000173287,0.446790439,PTK2,0.768310974,0.175392508,1.301556315,PTK2,1.507424431,0.306820537,0.663383172,PTK2,1.217020872,0.537326041,0.821678595
RARA,0.97721238,0.97453057,1.02331901,RARA,0.16478375,0.10883291,6.0685595,RARA,0.77264527,0.32642938,1.29425499,RARA,1.20399945,0.23837493,0.83056517,RARA,0.657935809,0.632660361,1.519905114,RARA,0.76138852,0.63744413,1.31338991,RARA,0.30301429,0.0702881,3.30017439,RARA,0.64720763,0.23928134,1.54509922,RARA,0.58803879,0.3327861,1.7005681,RARA,608893131,0.99885351,1.64E-09,RARA,1.62594727,0.03091649,0.61502609,RARA,1.39142425,0.04255157,0.71868807,RARA,1.05139147,0.82884666,0.95112052,RARA,1.813104388,0.496760587,0.551540224,RARA,0.700800781,0.052872792,1.426939048,RARA,1.02240617,0.93439454,0.97808486,RARA,1.27258851,0.13455664,0.78579996,RARA,0.524951237,0.003385791,1.90493884,RARA,0.850739153,0.441623784,1.175448428,RARA,0.980281069,0.915385414,1.020115589,RARA,1.058050197,0.875132285,0.945134742,RARA,1.018122898,0.909825372,0.982199695,RARA,0.527112415,0.365529368,1.897128527,RARA,1.185190915,0.282715614,0.843745921,RARA,1.221809676,0.305265568,0.818458079,RARA,0.631067774,0.086458317,1.584615855,RARA,1.75190662,0.575340917,0.570806679,RARA,2.413510578,0.10350867,0.414334211,RARA,1.485894996,0.131957539,0.672995066,RARA,0.568326165,0.005312995,1.759552986,RARA,0.831432716,0.338854103,1.202743146,RARA,0.77688109,0.537401606,1.287198276,RARA,1.372080812,0.330192405,0.728820046
RELA,1.54279038,0.55840579,0.64817619,RELA,1.16252954,0.86923247,0.8601932,RELA,1.62053157,0.07430574,0.61708147,RELA,1.09110192,0.57686676,0.91650467,RELA,2.391504599,0.316000749,0.418146802,RELA,0.27427814,0.05039467,3.64593402,RELA,0.6859485,0.54029381,1.45783538,RELA,0.5972979,0.16591024,1.67420645,RELA,0.4756254,0.18312286,2.10249496,RELA,1.97754988,0.5779154,0.50567625,RELA,1.00132677,0.9953212,0.99867499,RELA,0.79266539,0.15736795,1.26156638,RELA,0.59559054,0.02821563,1.67900584,RELA,0.885122303,0.875351824,1.129787371,RELA,1.521181647,0.022147409,0.657383687,RELA,0.46349494,0.00583783,2.15752088,RELA,1.28685979,0.11895895,0.77708544,RELA,0.813327176,0.336006898,1.229517505,RELA,1.090709499,0.679554408,0.91683441,RELA,1.140538545,0.483235838,0.876778785,RELA,1.615014576,0.200021743,0.619189458,RELA,1.774007566,0.000468468,0.563695454,RELA,0.467188344,0.282441575,2.140464362,RELA,1.246803276,0.162124469,0.802051149,RELA,0.84882393,0.409839796,1.178100622,RELA,0.715324511,0.222575211,1.397966916,RELA,0.437023691,0.474707788,2.288205468,RELA,0.833142378,0.721016299,1.200275039,RELA,1.007460655,0.977098104,0.992594594,RELA,0.778542944,0.203681151,1.284450662,RELA,1.049233584,0.804691151,0.953076622,RELA,1.266280475,0.558658811,0.789714459,RELA,1.593412801,0.150047244,0.627583762
RETSAT,2.11733933,0.30846957,0.47229085,RETSAT,0.57805517,0.52921599,1.72993868,RETSAT,1.63938949,0.06744858,0.60998317,RETSAT,1.25622147,0.14402544,0.79603798,RETSAT,2.471670565,0.30508303,0.404584662,RETSAT,1.08151344,0.888835,0.92463021,RETSAT,1.80447737,0.3151044,0.55417708,RETSAT,1.33711591,0.42194002,0.74787832,RETSAT,1.27773771,0.6509563,0.78263324,RETSAT,0.54443789,0.61964502,1.8367568,RETSAT,0.93085225,0.7524683,1.07428435,RETSAT,1.53688508,0.00888171,0.65066674,RETSAT,0.66598656,0.08131713,1.5015318,RETSAT,0.922470635,0.924100249,1.084045347,RETSAT,1.10071987,0.59902966,0.908496364,RETSAT,0.57809404,0.04864965,1.72982237,RETSAT,1.12998945,0.45168385,0.88496401,RETSAT,0.903038193,0.636282423,1.107372875,RETSAT,2.303287582,0.000175154,0.434162025,RETSAT,1.50485065,0.03004684,0.664517771,RETSAT,0.900672823,0.768718814,1.110281086,RETSAT,0.539907372,0.000180536,1.852169562,RETSAT,0.771469166,0.699010351,1.296228085,RETSAT,0.879906326,0.412696143,1.136484612,RETSAT,0.972439902,0.88686419,1.028341184,RETSAT,0.581627333,0.056427519,1.719313972,RETSAT,1.914186697,0.520853614,0.522415082,RETSAT,0.7452678,0.558416125,1.341799552,RETSAT,1.18676585,0.509996106,0.842626201,RETSAT,1.03788248,0.850317419,0.963500222,RETSAT,0.960855293,0.836857917,1.040739441,RETSAT,0.618871355,0.24367293,1.615844702,RETSAT,0.665730596,0.223953467,1.502109121
RHOB,0.88877688,0.86865636,1.12514178,RHOB,0.4456416,0.35669158,2.24395568,RHOB,0.79091595,0.37474101,1.26435686,RHOB,1.20265272,0.24314845,0.83149523,RHOB,1.666969374,0.548463722,0.599891045,RHOB,6.0479829,0.02085149,0.16534438,RHOB,2.30423161,0.2072689,0.43398415,RHOB,1.4195906,0.33378211,0.70442845,RHOB,3.20378326,0.07418156,0.31213098,RHOB,1.74336671,0.65024197,0.57360278,RHOB,1.22820138,0.36620338,0.81419872,RHOB,1.1790697,0.31028723,0.84812628,RHOB,0.57794805,0.01873454,1.73025932,RHOB,0.854132001,0.85299837,1.170779222,RHOB,0.880238311,0.481778789,1.136055983,RHOB,1.08010701,0.77485454,0.92583419,RHOB,0.84205761,0.28954418,1.18756721,RHOB,0.770519087,0.223371099,1.297826384,RHOB,0.903842549,0.631910538,1.106387391,RHOB,1.041555082,0.82827684,0.960102848,RHOB,0.712336834,0.348962687,1.403830256,RHOB,0.499955734,3.71E-05,2.000177079,RHOB,0.571386514,0.428760503,1.750128812,RHOB,1.438979281,0.020378716,0.694937038,RHOB,0.946359229,0.777931414,1.056681194,RHOB,0.776221646,0.342020455,1.288291824,RHOB,1.363660198,0.75912526,0.733320516,RHOB,1.442179684,0.471383626,0.693394874,RHOB,1.67610483,0.048600887,0.596621394,RHOB,0.678580802,0.050468571,1.473663855,RHOB,1.223306708,0.297708227,0.817456484,RHOB,1.896992199,0.136507717,0.527150296,RHOB,0.678948902,0.238418114,1.47286489
RHOT2,1.35954203,0.67736974,0.73554181,RHOT2,0.25503376,0.22169703,3.92104957,RHOT2,0.60965744,0.06024018,1.64026538,RHOT2,0.85454503,0.30829424,1.17021335,RHOT2,0.971340406,0.971689632,1.029505201,RHOT2,1.88959572,0.29946013,0.52921373,RHOT2,1.40394791,0.56247071,0.71227714,RHOT2,0.93469212,0.85144089,1.06987101,RHOT2,0.82882112,0.73867216,1.20653296,RHOT2,0.49898537,0.57034069,2.00406677,RHOT2,1.01127952,0.96029405,0.98884629,RHOT2,1.06862401,0.68364075,0.93578283,RHOT2,0.96166947,0.865907,1.03985832,RHOT2,1.151314242,0.901973257,0.868572596,RHOT2,0.869385644,0.450146108,1.150237535,RHOT2,1.13558165,0.63610946,0.88060599,RHOT2,1.13108719,0.44970283,0.88410515,RHOT2,1.188827036,0.423810532,0.841165258,RHOT2,0.956997038,0.841460475,1.044935314,RHOT2,0.922152679,0.667677248,1.084419124,RHOT2,0.563848428,0.134156404,1.773526272,RHOT2,1.664399854,0.001548285,0.600817164,RHOT2,0.457644469,0.269649078,2.185102342,RHOT2,0.703292105,0.029346149,1.421884298,RHOT2,1.357860433,0.116682967,0.736452713,RHOT2,0.84353375,0.533350159,1.185489022,RHOT2,0.446048235,0.484656283,2.241910002,RHOT2,0.865700117,0.779934088,1.155134417,RHOT2,0.69416934,0.171320695,1.440570683,RHOT2,0.6743432,0.051902039,1.482924422,RHOT2,0.790391044,0.225148853,1.265196522,RHOT2,1.037198702,0.927716698,0.964135414,RHOT2,1.057783109,0.863213868,0.945373387
RNASEL,1.46438154,0.59448834,0.68288214,RNASEL,3.10526666,0.19269606,0.32203353,RNASEL,1.23681003,0.42524263,0.80853161,RNASEL,1.08776579,0.58879733,0.91931555,RNASEL,0.53782617,0.477087733,1.859336818,RNASEL,1.18471992,0.76232789,0.84408136,RNASEL,1.18203845,0.76418929,0.84599617,RNASEL,0.93874347,0.8609043,1.06525375,RNASEL,0.81022273,0.72449453,1.23422852,RNASEL,1.95633375,0.58387443,0.51116022,RNASEL,1.28538312,0.26411289,0.77797816,RNASEL,0.64035907,0.00645286,1.56162384,RNASEL,0.43870222,0.00084054,2.27945052,RNASEL,3.258617554,0.25381313,0.306878602,RNASEL,1.011078235,0.951634951,0.989043148,RNASEL,0.5423577,0.02498768,1.84380159,RNASEL,0.95694336,0.78484235,1.04499392,RNASEL,1.023044212,0.914601075,0.977474862,RNASEL,1.686121471,0.013491935,0.593077081,RNASEL,0.915945262,0.639696768,1.091768299,RNASEL,0.892428416,0.74880172,1.120538053,RNASEL,0.760977901,0.087773454,1.314098608,RNASEL,0.402793276,0.199369994,2.482663092,RNASEL,0.944641535,0.714112922,1.058602616,RNASEL,1.128342088,0.536337983,0.886256048,RNASEL,0.869844259,0.606186489,1.149631086,RNASEL,3.337204892,0.298038291,0.299651964,RNASEL,1.248221668,0.677202587,0.801139754,RNASEL,0.781955462,0.343671874,1.278845214,RNASEL,0.932875698,0.726256542,1.071954176,RNASEL,0.746719468,0.135758575,1.339191012,RNASEL,0.56882218,0.168009178,1.758018649,RNASEL,0.820003958,0.554178728,1.219506308
ROCK1,1.04520972,0.95116078,0.95674579,ROCK1,2.20874599,0.36477678,0.45274559,ROCK1,1.80109726,0.02813227,0.5552171,ROCK1,1.0437907,0.78329645,0.95804647,ROCK1,0.193247452,0.134358231,5.174712465,ROCK1,1.79062971,0.33563828,0.55846275,ROCK1,1.41884123,0.53136819,0.70480049,ROCK1,1.22137019,0.57964237,0.81875258,ROCK1,1.12646301,0.82659111,0.88773443,ROCK1,0.55560537,0.63151256,1.79983861,ROCK1,1.48034964,0.08981015,0.67551609,ROCK1,1.05371618,0.75097679,0.94902216,ROCK1,0.91194637,0.69122635,1.09655571,ROCK1,4.45E-09,0.999061041,224883674.8,ROCK1,1.061264744,0.747372091,0.94227195,ROCK1,1.36084701,0.24981195,0.73483646,ROCK1,1.00710052,0.96490878,0.99294954,ROCK1,1.071444795,0.746328494,0.933319201,ROCK1,1.62845174,0.025043117,0.614080218,ROCK1,0.772304,0.170343791,1.294826907,ROCK1,1.139393931,0.714598829,0.877659581,ROCK1,0.598439413,0.001766179,1.671012934,ROCK1,1.369863826,0.639877537,0.729999567,ROCK1,0.8997518,0.498328739,1.111417616,ROCK1,0.857168861,0.429559312,1.166631274,ROCK1,1.001191908,0.996447363,0.998809511,ROCK1,1.497195888,0.687211036,0.667915273,ROCK1,0.872636718,0.798163162,1.145952238,ROCK1,1.02444244,0.925858248,0.976140739,ROCK1,1.326552911,0.154172408,0.753833482,ROCK1,1.058767608,0.767901937,0.944494327,ROCK1,1.966057273,0.101592319,0.508632182,ROCK1,0.998375717,0.995955958,1.001626926
SAT1,1.44681911,0.61727804,0.69117141,SAT1,0.22441429,0.17399644,4.45604418,SAT1,1.59679931,0.07973875,0.62625278,SAT1,0.73913985,0.05327185,1.35292394,SAT1,1.211680425,0.815236726,0.82530012,SAT1,0.56787598,0.3473661,1.76094788,SAT1,0.75586849,0.62417509,1.32298146,SAT1,1.25507701,0.53881802,0.79676386,SAT1,0.36726772,0.07411233,2.72280942,SAT1,2.21666028,0.51585477,0.45112912,SAT1,0.7382858,0.17790711,1.354489,SAT1,0.86873713,0.38817928,1.1510962,SAT1,0.700651,0.13431682,1.4272441,SAT1,0.390857988,0.224893517,2.558473999,SAT1,0.768284064,0.150987092,1.301601904,SAT1,0.68660163,0.164065,1.45644863,SAT1,0.96092741,0.80583455,1.04066133,SAT1,1.167704161,0.471872911,0.856381293,SAT1,2.060040175,0.000886582,0.485427426,SAT1,1.198862326,0.334138688,0.834124135,SAT1,0.655444556,0.239841106,1.525682058,SAT1,1.541228372,0.007342435,0.648833111,SAT1,1.142253039,0.842926524,0.875462762,SAT1,0.779272667,0.111859289,1.283247882,SAT1,1.251421351,0.255972488,0.799091368,SAT1,1.259544384,0.389364782,0.793937882,SAT1,1.151801308,0.887668705,0.8682053,SAT1,1.028605916,0.961810751,0.972189625,SAT1,1.061084465,0.819738134,0.942432043,SAT1,0.73619194,0.128063155,1.358341413,SAT1,0.880374478,0.508774031,1.13588027,SAT1,0.58841319,0.195276558,1.699486036,SAT1,0.692717497,0.257547098,1.443589926
SATB1,8.93582123,0.04072011,0.11190913,SATB1,2.07474417,0.4262387,0.48198714,SATB1,0.84154731,0.51951444,1.18828733,SATB1,1.15733739,0.3448287,0.86405227,SATB1,0.171251024,0.111855419,5.839381144,SATB1,0.06762925,0.01039882,14.7865021,SATB1,0.97366927,0.9639563,1.02704279,SATB1,0.51881994,0.0762898,1.92745099,SATB1,0.32386177,0.08407651,3.08773709,SATB1,0.52271147,0.59635404,1.91310131,SATB1,0.95911197,0.85349115,1.04263114,SATB1,0.51749616,6.19E-05,1.93238151,SATB1,1.55830971,0.05724145,0.64172096,SATB1,0.337218015,0.19857439,2.96544062,SATB1,0.730501017,0.08769721,1.368923487,SATB1,0.82236029,0.46320115,1.21601203,SATB1,1.03311231,0.84003993,0.96794897,SATB1,1.106588945,0.639597558,0.903677923,SATB1,0.402285176,3.79E-05,2.485798783,SATB1,0.671231963,0.034554236,1.489797947,SATB1,0.764965503,0.455969598,1.307248492,SATB1,0.693467622,0.024666083,1.442028392,SATB1,1.845697311,0.386260923,0.541800649,SATB1,0.692896182,0.019790567,1.443217651,SATB1,1.180846371,0.397230663,0.846850212,SATB1,0.582161519,0.044375999,1.717736344,SATB1,1.371498847,0.752697969,0.729129304,SATB1,1.305596556,0.612872622,0.765933393,SATB1,1.157977173,0.574072037,0.863574881,SATB1,0.900749732,0.594620989,1.110186287,SATB1,0.77312311,0.185029032,1.293455062,SATB1,0.490466573,0.097089613,2.038874931,SATB1,0.855902445,0.625785908,1.168357453
